"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1969","Complete Purchase Flow","firefox","2026-09-03","passed","2026-09-03","","purchaseFlow.spec.ts","",""
"","1863","Complete Purchase Flow","webkit","2026-09-03","passed","2026-09-03","","purchaseFlow.spec.ts","",""
"","695","has title","chromium","2026-09-03","passed","2026-09-03","","example.spec.ts","",""
"","891","Complete Purchase Flow","chromium","2026-09-03","passed","2026-09-03","","purchaseFlow.spec.ts","",""
"","8658","test","chromium","2026-08-19","passed","2026-08-19","","helloTest.spec.ts","",""
"","8158","test","webkit","2026-08-19","passed","2026-08-19","","helloTest.spec.ts","",""
"","1398","get started link","firefox","2026-09-03","passed","2026-09-03","","example.spec.ts","",""
"","1793","get started link","webkit","2026-09-03","passed","2026-09-03","","example.spec.ts","",""
"","6808","has title","webkit","2026-09-03","passed","2026-09-03","","example.spec.ts","",""
"","907","get started link","chromium","2026-09-03","passed","2026-09-03","","example.spec.ts","",""
"","8062","test","firefox","2026-08-19","passed","2026-08-19","","helloTest.spec.ts","",""
"","3058","has title","firefox","2026-09-03","passed","2026-09-03","","example.spec.ts","",""
